
-- 1 --
Type: 0 | Pos: 15.741868345998228 2.642618970014155 | Vel: 3591886.995618998 4470458.7265546955 
Type: 0 | Pos: 5.924784148238565 0.035648886762828624 | Vel: -67.53656655611252 -12367.029366138207 
Type: 0 | Pos: 16.077380787915835 2.9420662865550185 | Vel: -2607909.770775735 -2315234.0972009874 
-- 12 --
Type: 0 | Pos: 11.427158927544951 15.545751750934869 | Vel: -983912.8234619024 -2142861.823730216 
Type: 0 | Pos: 11.984738148102464 10.034865572832961 | Vel: -0.009549998570192756 0.028822041724399845 
Type: 0 | Pos: 7.896688500419259 11.45146941114217 | Vel: 6199864.307465994 6798097.618004201 
Type: 0 | Pos: 12.15642626170997 16.520027449920235 | Vel: -64.39072834063154 -12362.828220287867 
Type: 0 | Pos: 12.53499886766076 6.447874321602285 | Vel: -5215887.0837220475 -4642872.994879881 
-- 13 --
Type: 0 | Pos: 13.442579805385321 2.532789722084999 | Vel: -983915.969205973 -2142866.025949169 
Type: 0 | Pos: 11.980383864411115 10.051958537791768 | Vel: 0.016556625768606573 0.035106619012017524 
Type: 0 | Pos: 0.04933434026315808 0.26062317145988345 | Vel: 6199864.300818392 6798097.627612936 
Type: 0 | Pos: 1.5340558076070288 17.207428598895603 | Vel: -61.24020068919057 -12358.634526020029 
Type: 0 | Pos: 8.993658740073442 9.94718640530482 | Vel: -5215887.107958247 -4642873.002251876 
-- 14 --
Type: 0 | Pos: 15.457952954573557 9.51980258198455 | Vel: -983915.9481731791 -2142866.025568953 
Type: 0 | Pos: 12.00129477387107 10.06997219184498 | Vel: 8.66111677086517 -43.532540320038535 
Type: 0 | Pos: 12.197506892494857 9.079082347918302 | Vel: 6199855.656036326 6798141.204998782 
Type: 0 | Pos: 10.916225572519398 17.88550142989152 | Vel: -61.235621743149224 -12358.64376861632 
Type: 0 | Pos: 5.427040620241314 13.445622446015477 | Vel: -5215887.133341663 -4642873.003131769 
-- 15 --
Type: 0 | Pos: 17.494406626326963 16.507220769301057 | Vel: -983915.9357230711 -2142866.0309698284 
Type: 0 | Pos: 0.6415006352762873 6.519418217753234 | Vel: 17.280413170424712 -87.10107824679218 
Type: 0 | Pos: 15.705370665993541 1.4656219533644617 | Vel: 6199847.0155658685 6798184.773528456 
Type: 0 | Pos: 0.2984340644578083 18.56365998257479 | Vel: -61.35459774765812 -12358.507638938776 
Type: 0 | Pos: 1.8603170774877071 16.94405463663861 | Vel: -5215887.005285933 -4642873.134079699 
-- 16 --
Type: 0 | Pos: 19.522229883470573 3.4888327536173165 | Vel: -983915.9407249901 -2142866.0262822257 
Type: 0 | Pos: 9.281707944295784 2.9688939450527982 | Vel: 17.279881062863442 -87.09420818893162 
Type: 0 | Pos: 19.21307276096195 13.852610803674906 | Vel: 6199847.015419977 6798184.773860517 
Type: 0 | Pos: 9.56162782486128 19.377862491115593 | Vel: -61.473076383329904 -12358.378433210832 
Type: 0 | Pos: 18.42175468755886 0.3115427466109395 | Vel: -5215886.880750337 -4642873.275401429 
-- 17 --
Type: 0 | Pos: 1.5536816362291574 10.48093854333274 | Vel: -983915.9375415876 -2142866.0141674685 
Type: 0 | Pos: 17.92138169813973 19.425210028821617 | Vel: 17.279659285228316 -87.08781490606172 
